"NUM","PAYS","PROV","ZS","POP","NUMSEM","DEBUTSEM","MALADIE","C328TNN","DTNN","C011MOIS","D011MOIS","C1259MOIS","D1259MOIS","C515ANS","D515ANS","CP15ANS","DP15ANS","TOTALCAS","TOTALDECES","LETAL","ATTAQ"
"RDCHLKMN013","RDC","HAUT-LOMAMI   ","KAMINA         ",225373,13,2022-03-28,"FIEVRE TYPHOIDE",0,0,3,0,8,0,21,0,48,0,80,0,0,35.5
"RDCHLKMN013","RDC","HAUT-LOMAMI   ","KAMINA         ",225373,13,2022-03-28,"IRA            ",NA,NA,67,0,95,0,42,0,61,0,265,0,0,117.6
"RDCHLKMN013","RDC","HAUT-LOMAMI   ","KAMINA         ",225373,13,2022-03-28,"PALUDISME CONF ",0,0,13,0,16,1,12,0,79,0,120,1,1,53.2
"RDCHLKMN013","RDC","HAUT-LOMAMI   ","KAMINA         ",225373,13,2022-03-28,"PALUDISME SUSP ",0,0,87,0,131,0,114,0,90,0,422,0,0,187.2
"RDCHLBAK013","RDC","HAUT-LOMAMI   ","KAMINA         ",225373,13,2022-03-28,"FIEVRE TYPHOIDE",0,0,0,0,0,0,1,0,1,0,2,0,0,0.9
"RDCHLBAK013","RDC","HAUT-LOMAMI   ","BAKA           ",10682,13,2022-03-28,"GRIPPE         ",0,0,1,0,1,0,1,0,1,0,4,0,0,37.4
"RDCHLBAK013","RDC","HAUT-LOMAMI   ","BAKA           ",10682,13,2022-03-28,"IRA            ",0,0,2,0,3,0,0,0,4,0,9,0,0,84.3
"RDCHLBAK013","RDC","HAUT-LOMAMI   ","BAKA           ",10682,13,2022-03-28,"PALUDISME SUSP ",0,0,3,0,46,0,68,0,98,0,215,0,0,NA
"RDCHLBAK013","RDC","HAUT-LOMAMI   ","BAKA           ",10682,13,2022-03-28,"PALUDISME CONF ",0,0,3,0,31,0,46,0,77,0,157,0,0,NA
"RDCHLKBG013","RDC","HAUT-LOMAMI   ","KABONGO        ",230602,13,2022-03-28,"FIEVRE TYPHOIDE",NA,NA,0,0,6,0,0,0,0,0,6,0,0,2.6
"RDCHLKBG013","RDC","HAUT-LOMAMI   ","KABONGO        ",230602,13,2022-03-28,"IRA            ",NA,NA,105,0,80,0,69,0,42,0,296,0,0,128.4
"RDCHLKBG013","RDC","HAUT-LOMAMI   ","KABONGO        ",230602,13,2022-03-28,"PALUDISME SUSP ",NA,NA,253,0,176,0,84,0,57,0,570,0,0,247.2
"RDCHLKBG013","RDC","HAUT-LOMAMI   ","KABONGO        ",230602,13,2022-03-28,"PALUDISME CONF ",NA,NA,56,0,22,0,21,0,14,0,113,0,0,49
"RDCHLKBG013","RDC","HAUT-LOMAMI   ","KABONGO        ",230602,13,2022-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RDCHLMLG013","RDC","HAUT-LOMAMI   ","MULONGO        ",191198,13,2022-03-28,"FIEVRE TYPHOIDE",0,0,6,0,24,1,0,0,31,0,61,1,2,31.9
"RDCHLMLG013","RDC","HAUT-LOMAMI   ","MULONGO        ",191198,13,2022-03-28,"MENINGITE      ",0,0,3,1,3,0,0,0,1,0,7,1,14,3.7
